fecha,cod_ine,CCAA,recovered
4/30/2020,8,Castilla La Mancha,5512
5/1/2020,8,Castilla La Mancha,5615
5/2/2020,8,Castilla La Mancha,5702
5/3/2020,8,Castilla La Mancha,5772
5/4/2020,8,Castilla La Mancha,5794
5/5/2020,8,Castilla La Mancha,5824
5/6/2020,8,Castilla La Mancha,5862
5/7/2020,8,Castilla La Mancha,5895
5/8/2020,8,Castilla La Mancha,5981
5/9/2020,8,Castilla La Mancha,6062
5/10/2020,8,Castilla La Mancha,6129
5/11/2020,8,Castilla La Mancha,6172
5/12/2020,8,Castilla La Mancha,6181
5/13/2020,8,Castilla La Mancha,6205
5/14/2020,8,Castilla La Mancha,6244
5/15/2020,8,Castilla La Mancha,6294
5/16/2020,8,Castilla La Mancha,6328
5/17/2020,8,Castilla La Mancha,6378
2/21/2020,7,Castilla y León,
2/22/2020,7,Castilla y León,
2/23/2020,7,Castilla y León,
2/24/2020,7,Castilla y León,
2/25/2020,7,Castilla y León,
2/26/2020,7,Castilla y León,
2/27/2020,7,Castilla y León,
2/28/2020,7,Castilla y León,
2/29/2020,7,Castilla y León,
3/1/2020,7,Castilla y León,
3/2/2020,7,Castilla y León,
3/3/2020,7,Castilla y León,
3/4/2020,7,Castilla y León,
3/5/2020,7,Castilla y León,
3/6/2020,7,Castilla y León,
3/7/2020,7,Castilla y León,
3/8/2020,7,Castilla y León,
3/9/2020,7,Castilla y León,0
3/10/2020,7,Castilla y León,0
3/11/2020,7,Castilla y León,0
3/12/2020,7,Castilla y León,0
3/13/2020,7,Castilla y León,1
3/14/2020,7,Castilla y León,2
3/15/2020,7,Castilla y León,3
3/16/2020,7,Castilla y León,5
3/17/2020,7,Castilla y León,5
3/18/2020,7,Castilla y León,5
3/19/2020,7,Castilla y León,27
3/20/2020,7,Castilla y León,37
3/21/2020,7,Castilla y León,54
3/22/2020,7,Castilla y León,89
3/23/2020,7,Castilla y León,117
3/24/2020,7,Castilla y León,140
3/25/2020,7,Castilla y León,213
3/26/2020,7,Castilla y León,308
3/27/2020,7,Castilla y León,423
3/28/2020,7,Castilla y León,585
3/29/2020,7,Castilla y León,752
3/30/2020,7,Castilla y León,871
3/31/2020,7,Castilla y León,1028
4/1/2020,7,Castilla y León,1259
4/2/2020,7,Castilla y León,1498
4/3/2020,7,Castilla y León,1759
4/4/2020,7,Castilla y León,2021
4/5/2020,7,Castilla y León,2331
4/6/2020,7,Castilla y León,2533
4/7/2020,7,Castilla y León,2711
4/8/2020,7,Castilla y León,2988
4/9/2020,7,Castilla y León,3242
4/10/2020,7,Castilla y León,3506
4/11/2020,7,Castilla y León,3757
4/12/2020,7,Castilla y León,4010
4/13/2020,7,Castilla y León,4154
4/14/2020,7,Castilla y León,4266
4/15/2020,7,Castilla y León,4521
4/16/2020,7,Castilla y León,4725
4/17/2020,7,Castilla y León,4924
4/18/2020,7,Castilla y León,5103
4/19/2020,7,Castilla y León,5262
4/20/2020,7,Castilla y León,5366
4/21/2020,7,Castilla y León,5429
4/22/2020,7,Castilla y León,5614
4/23/2020,7,Castilla y León,5777
4/24/2020,7,Castilla y León,5943
4/25/2020,7,Castilla y León,6033
4/26/2020,7,Castilla y León,6208
4/27/2020,7,Castilla y León,6272
4/28/2020,7,Castilla y León,6323
4/29/2020,7,Castilla y León,6448
4/30/2020,7,Castilla y León,6569
5/1/2020,7,Castilla y León,6686
5/2/2020,7,Castilla y León,6813
5/3/2020,7,Castilla y León,6856
5/4/2020,7,Castilla y León,6900
5/5/2020,7,Castilla y León,6935
5/6/2020,7,Castilla y León,7036
5/7/2020,7,Castilla y León,7149
5/8/2020,7,Castilla y León,7231
5/9/2020,7,Castilla y León,7317
5/10/2020,7,Castilla y León,7429
5/11/2020,7,Castilla y León,7453
5/12/2020,7,Castilla y León,7472
5/13/2020,7,Castilla y León,7544
5/14/2020,7,Castilla y León,7621
5/15/2020,7,Castilla y León,7672
5/16/2020,7,Castilla y León,7735
5/17/2020,7,Castilla y León,8716
2/21/2020,9,Cataluña,
2/22/2020,9,Cataluña,
2/23/2020,9,Cataluña,
2/24/2020,9,Cataluña,
2/25/2020,9,Cataluña,
2/26/2020,9,Cataluña,
2/27/2020,9,Cataluña,
2/28/2020,9,Cataluña,
2/29/2020,9,Cataluña,
3/1/2020,9,Cataluña,
3/2/2020,9,Cataluña,
3/3/2020,9,Cataluña,
3/4/2020,9,Cataluña,
3/5/2020,9,Cataluña,
3/6/2020,9,Cataluña,
3/7/2020,9,Cataluña,
3/8/2020,9,Cataluña,
3/9/2020,9,Cataluña,2
3/10/2020,9,Cataluña,5
3/11/2020,9,Cataluña,6
